# JPS / A* · MovingAI .scen 正确性报告   2026-07-04 22:42:47
构建配置（JPS.Core）：斜穿角=禁止
范围：movingai/ 全部，共 1354 个 .scen 文件，每个 全部用例
并行：每张图加载后用 8 线程（CPU 16 的 1/2）共享同一 JpsSystem 跑该图的用例（兼测 JPS 多线程安全）
原生库：JPS.Native.dll 已加载（G:\GitHub\JPS\x64\Release\JPS.Native.dll）→ 每条用例校验「C 版 JPS 路径 == C# 版 JPS 路径」

校验项：
  ① JPS 整数代价 == A* 整数代价（最优性）
  ② JPS 路径合法（相邻/可走/不切角）
  ③ JPS 真实长度 ≈ 官方最优
  ④ C 版 JPS == C# 版 JPS：compact path 与平滑路径均逐点严格一致（强一致）
  ⑤ 随机改图+还原致缓存失效后，冷重扫 == 热结果
列说明：
  n=用例数  pass=三项全过  jFail=JPS无解(A*有解)  subopt=JPS≠A*  inval=路径非法
  refL=比官方长  refS=比官方短  mism=C≠C#(compact 或平滑不一致)  cold=失效重扫≠热结果

------------------------------------------------------------------------------------------------------------
scen                                               n    pass  jFail  subopt  inval   refL   refS   mism   cold
bgmaps-map/AR0515SR.map                          140     140      0       0      0      0      0      0      0
bgmaps-map/AR0516SR.map                          650     650      0       0      0      0      0      0      0
bgmaps-map/AR0517SR.map                           90      90      0       0      0      0      0      0      0
bgmaps-map/AR0526SR.map                          160     160      0       0      0      0      0      0      0
bgmaps-map/AR0527SR.map                           90      90      0       0      0      0      0      0      0
bgmaps-map/AR0528SR.map                          100     100      0       0      0      0      0      0      0
bgmaps-map/AR0529SR.map                          149     149      0       0      0      0      0      0      0
bgmaps-map/AR0530SR.map                          200     200      0       0      0      0      0      0      0
bgmaps-map/AR0531SR.map                          110     110      0       0      0      0      0      0      0
bgmaps-map/AR0600SR.map                          590     590      0       0      0      0      0      0      0
bgmaps-map/AR0601SR.map                          490     490      0       0      0      0      0      0      0
bgmaps-map/AR0602SR.map                         1370    1370      0       0      0      0      0      0      0
bgmaps-map/AR0603SR.map                         1400    1400      0       0      0      0      0      0      0
bgmaps-map/AR0604SR.map                          410     410      0       0      0      0      0      0      0
bgmaps-map/AR0605SR.map                          190     190      0       0      0      0      0      0      0
bgmaps-map/AR0606SR.map                          110     110      0       0      0      0      0      0      0
bgmaps-map/AR0607SR.map                          130     130      0       0      0      0      0      0      0
bgmaps-map/AR0700SR.map                         1300    1300      0       0      0      0      0      0      0
bgmaps-map/AR0701SR.map                          699     699      0       0      0      0      0      0      0
bgmaps-map/AR0702SR.map                          190     190      0       0      0      0      0      0      0
bgmaps-map/AR0703SR.map                           80      80      0       0      0      0      0      0      0
bgmaps-map/AR0704SR.map                          240     240      0       0      0      0      0      0      0
bgmaps-map/AR0705SR.map                          459     459      0       0      0      0      0      0      0
bgmaps-map/AR0706SR.map                          139     139      0       0      0      0      0      0      0
